Variable,Standard_Deviation,Mean
F1A1_1,1.3989036392739918,2.7810578105781056
F1A2_1,1.6466711148792896,4.982779827798278
F1A3_1,1.6760838898672559,5.198031980319803
F1A4_1,1.6572364530660522,5.033210332103321
F1A5_1,1.3653366737092103,2.980319803198032
F1A6_1,1.7037921814443455,4.8437884378843785
F1A7_1,1.5651826458007754,5.49569495694957
F1A8_1,1.4926590200914076,5.5104551045510455
F1A9_1,1.7608633816293129,4.199261992619927
F1A10_1,1.3953452216626774,5.185731857318573
F1A11_1,1.3123454188463692,5.396063960639607
F1A12_1,1.1156203879588196,2.325953259532595
F1A13_1,1.6546989415547544,3.9323493234932347
F1A14_1,1.1993467947516414,3.7306273062730626
F1A15_1,1.6672942789127623,3.3431734317343174
F1A16_1,1.4333862655808978,2.6678966789667897
F1A17_1,1.525235744483011,5.482164821648216
F1A19_1,1.5295964075698907,4.2250922509225095
F2A1,1.2383021066444522,2.4870848708487086
F2A2,1.1562579654321603,2.779827798277983
F2A3,1.8231578478950083,2.50625
F2A4,1.0341378836460442,3.5325953259532596
F2A5,0.9609953269248583,3.838868388683887
F2A6,1.10644874198621,3.3726937269372694
F2A7,1.0620948603008975,2.9138991389913897
F2A8,1.2329853157011983,3.4231242312423125
F2A9,1.0150975874825505,3.5559655596555966
F2A10,0.9921085995679128,3.4956949569495697
F2A11,1.1214059235902019,2.5510455104551046
F2A12,1.4345461556962145,2.7896678966789668
F2A14,1.0962502837050054,3.597051597051597
F3A1_1,1.5343011258355819,4.797047970479705
F3A2_1,1.132076444881049,2.236162361623616
F3A3_1,1.6454223199810813,4.819188191881919
F3A4_1,1.0341774321843735,2.20910209102091
F3A5_1,1.6909240619776036,3.892988929889299
F3A6_1,1.8872291638356427,3.6063960639606396
F3A7_1,1.7478001109552643,3.6346863468634685
F3A8_1,1.7768420754304435,3.8226600985221677
F3A9_1,1.621273419248568,5.454993834771886
F3A10_1,2.0917751698366014,3.93849938499385
F3A11_1,1.8063511634222678,4.584255842558425
F3A12_1,1.8282631941918186,3.7785977859778597
F3A13_1,1.5092837162122987,2.6469864698646988
F3A14_1,1.8105401099988105,3.846248462484625
F3A15_1,1.9529026736051747,4.189421894218942
F3A16_1,1.7325868338406503,5.308733087330873
F3A17_1,1.7067209337534435,2.742927429274293
F3A18_1,1.575366360382666,5.552955665024631
F3A19_1,1.8462695994238778,3.6533575317604354
F3A20_1,1.618632231833524,3.3738656987295825
F3A21_1,1.530948938631715,3.9056261343012704
F3A22_1,1.6951849389079212,4.972972972972973
F3A23_1,2.4104164956626613,4.709302325581396
F3A24_1,1.902840914840308,2.2674418604651163
F3A25_1,2.1395702104178573,4.492248062015504
F3A26_1,1.4989514629203688,5.953488372093023
F3A27_1,2.150720691595849,2.872093023255814
F3A28_1,1.8272817973506674,4.538759689922481
F3A29_1,1.9291432872081218,2.0775193798449614
F3A30_1,1.970298717648905,4.189922480620155
F3A31_1,1.2696380650467782,6.372093023255814
F3A32_1,1.5327786238644794,2.1782945736434107
F3A33_1,1.9926303759503456,5.182170542635659
F3A34_1,1.9565916377794124,4.976744186046512
F3A35_1,0.9782495692350821,6.546511627906977
F3A36_1,1.9774198145958473,3.802325581395349
F3B_Hamas,2.310305376817916,9.445736434108527
F3B_Israel,2.9527901425050342,6.286821705426356
F3B_Deutschland,2.0078759351165445,5.205426356589148
F3B_USA,2.86658255925561,5.449612403100775
F3B_UN,2.6393306763891045,5.372093023255814
F3B_Iran,2.1858979368593308,9.007751937984496
F3B_Katar,2.3952648620220427,6.492248062015504
F5A1_1,0.9808360084974295,2.277982779827798
F5A2_1,0.7970788408118342,1.8277982779827797
F5A3_1,0.9528365690144006,2.15990159901599
F5A4_1,0.9461503730168707,3.772447724477245
F5A5_1,0.9909475199310795,3.715867158671587
F5A6_1,1.0197294528953553,3.2263222632226323
F5A7_1,0.9561359937331663,3.2927429274292743
F5A8_1,1.0139105436332796,2.758917589175892
F5A9_1,0.8548648627444569,3.972939729397294
F5A10_1,1.1026526751321188,3.7576875768757687
F5A11_1,1.1000325262662314,3.6248462484624846
F5A12_1,0.9375183919370117,3.5436654366543667
F5A13_1,1.0911352651460826,3.5744157441574416
F5A14_1,1.0024701762271495,3.8346774193548385
F5A15_1,0.9938929449333682,3.0545454545454547
F5A16_1,0.9012045886830599,4.04070796460177
F5aA1_1,2.1407415478150966,5.15990159901599
F5aA2_1,2.0918316540598427,3.13530135301353
F5aA3_1,2.0910617441871526,5.365313653136531
F5bA1_1,2.2802016478311526,3.8241082410824108
F5bA2_1,2.464087343967116,4.7272727272727275
F5bA3_1,2.5780710294666505,4.201722017220172
F5bA4_1,1.8912117478466381,2.3837638376383765
F5bA5_1,2.2051466738789776,4.681426814268143
F5bA6_1,2.0525987765583182,5.152521525215252
F5cA1_1,1.4243297897761376,2.89922480620155
F5cA2_1,1.3515537107762836,2.7248062015503876
F6a_DemPartyA1,3.475235037659783,4.453333333333333
F6a_RepPartyA1,3.0477097672772806,5.789544235924933
F6mA1_1,2.562498083416078,7.168511685116851
F7d,0.17274672621858947,1.030750307503075
F7e,0.24701392894889862,1.065190651906519
F7f,0.24916927034999803,1.066420664206642
einkommen,0.0,4.0
F7g,1.6681281045866239,5.797047970479705
F7h,1.7127862966363707,3.4378843788437883
F7lA1,0.0,2.0
F7mA1,0.20194093652345885,1.0416666666666667
F7n,0.0,2.0
